"EmprendeSOFT.SRL","","1-2012","","","","","","","","","","","","","","","","","","","","","","",""
"Enterprise-esc","Enterprise Software Construction SA","","","","","","","","","","","","","","","","","","","","","","","",""
"EPIC","EPIC SRL","1-2018","","","","","","","","","","","","","","","","","","","","","","",""
"ES3","","1-2009","","","","","","","","","","","","","","","","","","","","","","",""
"ESA","ESA","","","","","","","","","","","","","","","","","","","","","","","",""
"ESSI","ESSI SRL","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"ETIS","ETIS","","","","","","","","","","","","","","","","","","","","","","","",""
"ETSI","ETSI","","","","","","","","","","","","","","","","","","","","","","","",""
"Evolutionsoft","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ewebshop","","","","","","","","","","","","","","","","","","","","","","","","",""
"eXistenZ","eXistenZ","","","","","","","","","","","","","","","","","","","","","","","",""
"Extreme System","","2-2011","","","","","","","","","","","","","","","","","","","","","","",""
"F01 emdes","","","","","","","","","","","","","","","","","","","","","","","","",""
"Falcon","Falcon Soft","1-2017","","","","","","","","","","","","","","","","","","","","","","",""
"Faro Systems","Faro Systems","","","","","","","","","","","","","","","","","","","","","","","",""
"FDS","","2-2010","","","","","","","","","","","","","","","","","","","","","","",""
"Fenix","Fenix","","","","","","","","","","","","","","","","","","","","","","","",""
"FenrirSulven Sistems. Ingenieria y Reingenieria","FenrirSulven Sistems. Ingenieria y Reingenieria","","","","","","","","","","","","","","","","","","","","","","","",""
"Feral Consultores.SRL","","2-2013","","","","","","","","","","","","","","","","","","","","","","",""
"Filia","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJSOFT","FJSOFT SRL","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"Flare Soft S.R.L.","Flare Soft S.R.L.","2-2017","","","","","","","","","","","","","","","","","","","","","","",""
"Flash","Flash","","","","","","","","","","","","","","","","","","","","","","","",""
"Formato X S.A.","Formato X S.A.","","","","","","","","","","","","","","","","","","","","","","","",""
"FUTESOFT","","1-2019","PR","","","","","","","","","","","","","","","","","","","","","",""
"Fox-Soft","Fox-Soft SRL","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"FRAMTIS","FRAMTIS SRL","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"FreeSOFT.SRL","","1-2012","","","","","","","","","","","","","","","","","","","","","","",""
"FREEVALU","FreeValue SRL","1-2014","","","","","","","","","","","","","","","","","","","","","","",""
"FRIENDSOFT","","2-2010","","","","","","","","","","","","","","","","","","","","","","",""
"Full Soft","","1-2009","","","","","","","","","","","","","","","","","","","","","","",""
"G & G Soft","G & G Soft","","","","","","","","","","","","","","","","","","","","","","","",""
"G Kaisoft","Group Knowledge Advanced In Innovation Of Software","","","","","","","","","","","","","","","","","","","","","","","",""
"GDESIS","","1-2009","","","","","","","","","","","","","","","","","","","","","","",""
"Gdesis","","","","","","","","","","","","","","","","","","","","","","","","",""
"Genesis Soft","Genesis Soft","2-2019","PR","","","","","","","","","","","","","","","","","","","","","",""
"GDSOFT","","2-2010","","","","","","","","","","","","","","","","","","","","","","",""
"GEDSIS","GEDSIS","","","","","","","","","","","","","","","","","","","","","","","",""
"GEDSOFT SA","Grupo de Desarrollo de Software Sociedad Anónima","1-2012","","","","","","","","","","","","","","","","","","","","","","",""
"Gen Soft","Generadores de software","","","","","","","","","","","","","","","","","","","","","","","",""
"Generic software","Generic software","","","","","","","","","","","","","","","","","","","","","","","",""
"Genesis","Genesis","","","","","","","","","","","","","","","","","","","","","","","",""
"Genesis Code","Genesis Code","1-2021","CF","","","","","","","","","","","","","","","","","","","","","",""
"Ghost SRL","Ghost SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"Girasolmax","Girasolmax","","","","","","","","","","","","","","","","","","","","","","","",""
"Global Soft","Global soft","","","","","","","","","","","","","","","","","","","","","","","",""
"Global Systems S.R.L.","Global Systems S.R.L.","1-2016","","","","","","","","","","","","","","","","","","","","","","",""
"Gos","Gos","","","","","","","","","","","","","","","","","","","","","","","",""
"GRED Soft","GRED Soft","","","","","","","","","","","","","","","","","","","","","","","",""
"Grusoft_necs","Grusoft_necs","","","","","","","","","","","","","","","","","","","","","","","",""
"GTI Soft","","2-2012","","","","","","","","","","","","","","","","","","","","","","",""
"Guess Soft","Guess Soft","","","","","","","","","","","","","","","","","","","","","","","",""
"Huayra Soft","Huayra","1-2020","LB","","","","","","","","","","","","","","","","","","","","","",""
"Guss","","","","","","","","","","","","","","","","","","","","","","","","",""
"HadesSoft","HadesSoft","","","","","","","","","","","","","","","","","","","","","","","",""
"Hellsoft","HELLSOFT SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"High Bits","","2-2014","","","","","","","","","","","","","","","","","","","","","","",""
"House Soft.SRL","","2-2013","","","","","","","","","","","","","","","","","","","","","","",""
"Hsd","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hypersoft","","","","","","","","","","","","","","","","","","","","","","","","",""
"IART","Informatica Adelantos Responsables en Tecnologia","1-2010","","","","","","","","","","","","","","","","","","","","","","",""
"Iarte","","","","","","","","","","","","","","","","","","","","","","","","",""
"Icarus SRL","Icarus Soft SRL","2-2017","","","","","","","","","","","","","","","","","","","","","","",""
"Icon","icon soft","","","","","","","","","","","","","","","","","","","","","","","",""
"ICOS","Ingenieria de Computación y Software","1-2013","","","","","","","","","","","","","","","","","","","","","","",""
"ID Soft SRL","ID Soft SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"ide@","ide@","","","","","","","","","","","","","","","","","","","","","","","",""
"IKKITOUSEN SRL","IKKITOUSEN SRL","","","","","","","","","","","","","","","","","","","","","","","",""
"Illimani","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILLUSION","ILLUSION SRL","1-2014","","","","","","","","","","","","","","","","","","","","","","",""
"Imagsoft","","","","","","","","","","","","","","","","","","","","","","","","",""
"INCA","INCA","","","","","","","","","","","","","","","","","","","","","","","",""
"INDESOFT","","2-2010","","","","","","","","","","","","","","","","","","","","","","",""
"Indesoft","","","","","","","","","","","","","","","","","","","","","","","","",""
"INDEX SRL","","","","","","","","","","","","","","","","","","","","","","","","",""
"INFIDES SRL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Infotec","Infotec","","","","","","","","","","","","","","","","","","","","","","","",""
"Infsis","Infsis","","","","","","","","","","","","","","","","","","","","","","","",""
"Innovatek","Innovatek SRL","1-2019","LB","","","","","","","","","","","","","","","","","","","","","",""
"Infsol","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ingesof","Ingesof","","","","","","","","","","","","","","","","","","","","","","","",""
"INNER Soft","INNER Soft","1-2015","","","","","","","","","","","","","","","","","","","","","","",""
"INNOSIS","Innovaciones en Sistemas Informáticos","","","","","","","","","","","","","","","","","","","","","","","",""
"INNOVA TECHNOLOGY SRL","","2-2016","","","","","","","","","","","","","","","","","","","","","","",""
"INNOVATE SRL","INNOVATE SOFTWARE SOLUTION SRL","1-2015","","","","","","","","","","","","","","","","","","","","","","",""
"INNOVATION SOFT","","1-2011","","","","","","","","","","","","","","","","","","","","","","",""
"INNSER","","","","","","","","","","","","","","","","","","","","","","","","",""
"INsoft","INsoft","","","","","","","","","","","","","","","","","","","","","","","",""
